Number,Title,Name,City,State,Amount
93.432,ACL Centers for Independent Living ,ACCESS ALASKA INC,ANCHORAGE,AK,514770
93.432,ACL Centers for Independent Living ,"SOUTHEAST ALASKA INDEPENDENT LIVING, INC.",JUNEAU,AK,358340
93.432,ACL Centers for Independent Living ,INDEPENDENT LIVING CENTER - Homer,HOMER,AK,68185
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",INUPIAT COMMUNITY OF ARTIC SLOPE,BARROW,AK,1184890
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","EASTERN ALEUTIAN TRIBES, INC",ANCHORAGE,AK,828156
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Dena Nena Henash a/b/a Tanana Chiefs Confereence, Inc.",FAIRBANKS,AK,802078
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",BRISTOL BAY NATIVE ASSOCIATION,DILLINGHAM,AK,761775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ARCTIC SLOPE NATIVE ASSOCIATION,ANCHORAGE,AK,685844
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Dena Nena Henash a/b/a Tanana Chiefs Confereence, Inc.",FAIRBANKS,AK,646210
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,ANCHORAGE,AK,486775
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NORTON SOUND HEALTH CORPORATION,NOME,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",YUKON KUSKOKWIM HEALTH CORPORATION,BETHEL,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ARCTIC SLOPE NATIVE ASSOCIATION,ANCHORAGE,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,ANCHORAGE,AK,452381
93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",AHTNA' T'AENE NENE',COPPER CENTER,AK,452381
